"Semana","Temporada","Clave_producto","Precio_semanal"
"50","2014-2015",160202,105
"50","2014-2015",190301,101.375
"50","2014-2015",200202,70
"50","2014-2015",210401,197.747395833333
"50","2014-2015",210404,109.445
"50","2014-2015",230202,94.9338803088803
"50","2014-2015",240201,52.7314814814815
"50","2014-2015",250305,47.78
"50","2015-2016",10201,76.0795938574124
"50","2015-2016",10204,204.166666666667
"50","2015-2016",61301,78.7139490079622
"50","2015-2016",101001,80
"50","2015-2016",130201,42.4911405119513
"50","2015-2016",140201,40
"50","2015-2016",210401,253.333333333333
"50","2015-2016",210402,410
"50","2015-2016",210404,1011.53209109731
"50","2015-2016",221201,75.4936305732484
"50","2015-2016",230202,139.85337963094
"50","2015-2016",341001,75
"50","2016-2017",10201,66.6046368440849
"50","2016-2017",61301,66.1445786158744
"50","2016-2017",90301,120
"50","2016-2017",101001,70
"50","2016-2017",130201,35
"50","2016-2017",210401,183.463302752294
"50","2016-2017",210402,260
"50","2016-2017",210404,606.666666666667
"50","2016-2017",221201,70.4528369645925
"50","2016-2017",230202,116.164014625651
"50","2016-2017",341001,60
"50","2016-2017",390204,180
"50","2017-2018",10201,97.6697844051195
"50","2017-2018",10204,328.774098022676
"50","2017-2018",61301,90.0688419302559
"50","2017-2018",101001,88.3035714285714
"50","2017-2018",120301,134.523981411933
"50","2017-2018",210401,290
"50","2017-2018",210402,450
"50","2017-2018",210404,906.666666666667
"50","2017-2018",221201,87.8700483315003
"50","2017-2018",230202,150.984061385081
"50","2017-2018",341001,89.9828178694158
"50","2017-2018",470201,99.0592687161117
"50","2017-2018",480204,328.522764841034
"51","2013-2014",10201,35.8328389433585
"51","2013-2014",30201,33.4774639131659
"51","2014-2015",10201,62.4404570790189
"51","2014-2015",10204,144.703042986425
"51","2014-2015",61301,64.3203708553997
"51","2014-2015",70301,100
"51","2014-2015",90301,100
"51","2014-2015",101001,70
"51","2014-2015",120301,101.01841277056
"51","2014-2015",200202,71.6666666666667
"51","2014-2015",210401,199.004166666667
"51","2014-2015",230202,101.666666666667
"51","2014-2015",240201,60
"51","2014-2015",250305,47.78
"51","2015-2016",10201,83.8860695673246
"51","2015-2016",10204,200
"51","2015-2016",101001,75
"51","2015-2016",130201,49.6038186157518
"51","2015-2016",140201,40
"51","2015-2016",210401,260
"51","2015-2016",210402,410
"51","2015-2016",210404,902.893207466907
"51","2015-2016",221201,76.8275657357356
"51","2015-2016",230202,140.323191739768
"51","2016-2017",10201,53.5787066406681
"51","2016-2017",61301,56
"51","2016-2017",90301,100
"51","2016-2017",101001,55.75
"51","2016-2017",130201,33.3021806853583
"51","2016-2017",140204,230
"51","2016-2017",210401,191.186982223887
"51","2016-2017",210402,245
"51","2016-2017",210404,580
"51","2016-2017",221201,61.5
"51","2016-2017",230202,88.753127373477
"51","2016-2017",390204,160
"51","2016-2017",430309,140
"51","2017-2018",10201,87.6822780670077
"51","2017-2018",10204,313.612742724323
"51","2017-2018",61301,83.8180401681885
"51","2017-2018",101001,80.6944444444444
"51","2017-2018",120301,125.90878535952
"51","2017-2018",210401,259.510113872545
"51","2017-2018",210402,468.638613861386
"51","2017-2018",210404,850
"51","2017-2018",221201,81.51872325727
"51","2017-2018",230202,134.924885688865
"51","2017-2018",330202,132.0111521181
"51","2017-2018",341001,81.4838709677419
"51","2017-2018",470201,84.7401295781702
"51","2017-2018",480204,303.815658674301
